instance,seed,population_size,elite_percentage,mutants_percentage,num_independent_populations,edges,best_cost,opt,src,total_iterations,last_update_iteration,total_time,last_update_time,path_relink_time,path_relink_calls,num_improvements_elite,num_improvements_best
myciel7,394149,200,0.15,0.3,3,2360.0,8,8.0,MYC,1001,1,235.7,0.19,40.29,5,0,0
myciel7,492929,200,0.15,0.3,3,2360.0,8,8.0,MYC,1001,1,204.38,0.17,32.56,5,0,0
myciel7,593929,200,0.15,0.3,3,2360.0,8,8.0,MYC,1001,1,235.74,0.2,37.79,5,0,0
queen11_11,298329,200,0.15,0.3,3,3960.0,14,11.0,SGB,1017,17,109.3,1.89,14.57,5,2,0
queen11_11,394149,200,0.15,0.3,3,3960.0,14,11.0,SGB,1139,139,120.95,13.32,14.09,5,1,0
queen11_11,492929,200,0.15,0.3,3,3960.0,14,11.0,SGB,1023,23,109.49,2.44,14.56,5,2,0
queen11_11,593929,200,0.15,0.3,3,3960.0,14,11.0,SGB,1020,20,109.01,2.19,14.34,5,2,0
queen13_13,298329,200,0.15,0.3,3,6656.0,17,13.0,SGB,1001,1,261.93,0.19,48.41,5,1,0
queen13_13,394149,200,0.15,0.3,3,6656.0,17,13.0,SGB,1004,4,249.06,1.26,45.07,5,1,0
queen13_13,492929,200,0.15,0.3,3,6656.0,17,13.0,SGB,1001,1,243.21,0.2,43.78,5,1,0
queen13_13,593929,200,0.15,0.3,3,6656.0,17,13.0,SGB,1006,6,257.66,1.56,46.02,5,1,0
queen5_5,298329,200,0.15,0.3,3,160.0,5,5.0,SGB,1001,1,3.44,0.0,0.08,5,0,0
queen5_5,394149,200,0.15,0.3,3,160.0,5,5.0,SGB,1001,1,3.47,0.0,0.08,5,0,0
queen5_5,492929,200,0.15,0.3,3,160.0,5,5.0,SGB,1001,1,3.6,0.0,0.09,5,0,0
queen5_5,593929,200,0.15,0.3,3,160.0,5,5.0,SGB,1001,1,3.64,0.0,0.08,5,0,0
queen6_6,298329,200,0.15,0.3,3,290.0,7,7.0,SGB,1016,16,8.1,0.45,0.3,5,1,0
queen6_6,394149,200,0.15,0.3,3,290.0,7,7.0,SGB,1142,142,8.5,1.33,0.3,5,2,0
queen6_6,492929,200,0.15,0.3,3,290.0,7,7.0,SGB,1015,15,7.2,0.44,0.27,5,1,0
queen6_6,593929,200,0.15,0.3,3,290.0,7,7.0,SGB,1368,368,10.09,3.02,0.34,6,2,0
queen7_7,298329,200,0.15,0.3,3,476.0,7,7.0,SGB,1472,472,20.24,6.69,0.92,6,2,0
queen7_7,298329,200,0.15,0.3,3,476.0,7,7.0,SGB,1472,472,20.24,6.69,0.92,6,2,0
queen7_7,298329,200,0.15,0.3,3,476.0,7,7.0,SGB,1472,472,20.24,6.69,0.92,6,2,0
queen7_7,394149,200,0.15,0.3,3,476.0,7,7.0,SGB,2100,1100,30.45,16.33,0.85,10,4,1
queen7_7,394149,200,0.15,0.3,3,476.0,7,7.0,SGB,2100,1100,30.45,16.33,0.85,10,4,1
queen7_7,394149,200,0.15,0.3,3,476.0,7,7.0,SGB,2100,1100,30.45,16.33,0.85,10,4,1
queen7_7,492929,200,0.15,0.3,3,476.0,8,7.0,SGB,1123,123,14.86,1.94,0.2,5,2,0
queen7_7,492929,200,0.15,0.3,3,476.0,8,7.0,SGB,1123,123,14.86,1.94,0.2,5,2,0
