instance,seed,population_size,elite_percentage,mutants_percentage,num_independent_populations,vertices,best_cost,total_iterations,last_update_iteration,total_time,last_update_time,path_relink_time,path_relink_calls,num_improvements_elite,num_improvements_best
queen7_7,492929,200,0.15,0.3,3,49,8,1123,123,14.86,1.94,0.20,5,2,0
queen7_7,593929,200,0.15,0.3,3,49,7,2073,1073,27.55,14.62,0.84,10,3,0
queen8_12,298329,200,0.15,0.3,3,96,13,1001,1,69.60,0.06,7.49,5,1,0
queen8_12,394149,200,0.15,0.3,3,96,13,1002,2,69.33,0.47,7.41,5,1,0
queen8_12,492929,200,0.15,0.3,3,96,13,1005,5,74.21,0.67,8.25,5,1,0
queen8_12,593929,200,0.15,0.3,3,96,13,1006,6,73.74,0.75,7.52,5,1,0
queen8_8,298329,200,0.15,0.3,3,64,10,1001,1,28.32,0.03,2.02,5,1,0
queen8_8,394149,200,0.15,0.3,3,64,10,1019,19,29.74,0.85,2.14,5,1,0
queen8_8,492929,200,0.15,0.3,3,64,10,1003,3,27.60,0.41,1.92,5,1,0
queen8_8,593929,200,0.15,0.3,3,64,10,1004,4,29.00,0.44,2.19,5,1,0
queen9_9,298329,200,0.15,0.3,3,81,11,1727,727,82.71,35.31,5.98,8,1,0
queen9_9,394149,200,0.15,0.3,3,81,11,1075,75,51.90,3.81,4.57,5,2,0
queen9_9,492929,200,0.15,0.3,3,81,11,1033,33,50.59,2.00,4.55,5,3,0
queen9_9,593929,200,0.15,0.3,3,81,11,1320,320,64.11,14.87,5.37,6,3,0
zeroin.i.1,298329,200,0.15,0.3,3,211,49,1001,1,393.82,0.34,68.43,5,0,0
zeroin.i.1,394149,200,0.15,0.3,3,211,49,1001,1,438.15,0.27,83.39,5,0,0
zeroin.i.1,492929,200,0.15,0.3,3,211,49,1001,1,469.40,0.38,82.36,5,0,0
zeroin.i.1,593929,200,0.15,0.3,3,211,49,1001,1,475.04,0.38,81.62,5,0,0
zeroin.i.2,298329,200,0.15,0.3,3,211,30,1001,1,342.59,0.32,61.05,5,0,0
zeroin.i.2,394149,200,0.15,0.3,3,211,30,1001,1,265.89,0.21,47.03,5,0,0
zeroin.i.2,492929,200,0.15,0.3,3,211,30,1001,1,291.12,0.25,52.11,5,0,0
zeroin.i.2,593929,200,0.15,0.3,3,211,30,1001,1,259.67,0.22,48.65,5,0,0
zeroin.i.3,298329,200,0.15,0.3,3,206,30,1001,1,249.05,0.20,43.02,5,0,0
zeroin.i.3,394149,200,0.15,0.3,3,206,30,1001,1,273.33,0.22,48.65,5,0,0
zeroin.i.3,492929,200,0.15,0.3,3,206,30,1001,1,265.68,0.20,48.82,5,0,0
zeroin.i.3,593929,200,0.15,0.3,3,206,30,1001,1,358.80,0.28,66.49,5,0,0
